year,host,date,round,venue,attendance,home_team,away_team,home_score,away_score,went_to_shootout,home_red_cards,away_red_cards,total_goals,result,host_playing,host_won
2022,Qatar,2022-12-18,Final,"Lusail Iconic Stadium, Lusail",88966,Argentina,France,3,3,1,0,0,6,draw,0,
2022,Qatar,2022-12-17,Third-place match,"Khalifa International Stadium, Doha",44137,Croatia,Morocco,2,1,0,0,0,3,home_win,0,
2022,Qatar,2022-12-14,Semi-finals,"Al Bayt Stadium, Al Khor",68294,France,Morocco,2,0,0,0,0,2,home_win,0,
2022,Qatar,2022-12-13,Semi-finals,"Lusail Iconic Stadium, Lusail",88966,Argentina,Croatia,3,0,0,0,0,3,home_win,0,
2022,Qatar,2022-12-10,Quarter-finals,"Al Thumama Stadium, ath-Thumāma",44198,Morocco,Portugal,1,0,0,0,0,1,home_win,0,
2022,Qatar,2022-12-10,Quarter-finals,"Al Bayt Stadium, Al Khor",68895,England,France,1,2,0,0,0,3,away_win,0,
2022,Qatar,2022-12-09,Quarter-finals,"Education City Stadium, Doha",43893,Croatia,Brazil,1,1,1,0,0,2,draw,0,
2022,Qatar,2022-12-09,Quarter-finals,"Lusail Iconic Stadium, Lusail",88235,Netherlands,Argentina,2,2,1,0,0,4,draw,0,
2022,Qatar,2022-12-06,Round of 16,"Education City Stadium, Doha",44667,Morocco,Spain,0,0,1,0,0,0,draw,0,
2022,Qatar,2022-12-06,Round of 16,"Lusail Iconic Stadium, Lusail",83720,Portugal,Switzerland,6,1,0,0,0,7,home_win,0,
2022,Qatar,2022-12-05,Round of 16,"Al Janoub Stadium, Al Wakrah",42523,Japan,Croatia,1,1,1,0,0,2,draw,0,
2022,Qatar,2022-12-05,Round of 16,"Stadium 974, Doha",43847,Brazil,Korea Republic,4,1,0,0,0,5,home_win,0,
2022,Qatar,2022-12-04,Round of 16,"Al Thumama Stadium, ath-Thumāma",40989,France,Poland,3,1,0,0,0,4,home_win,0,
2022,Qatar,2022-12-04,Round of 16,"Al Bayt Stadium, Al Khor",65985,England,Senegal,3,0,0,0,0,3,home_win,0,
2022,Qatar,2022-12-03,Round of 16,"Khalifa International Stadium, Doha",44846,Netherlands,United States,3,1,0,0,0,4,home_win,0,
2022,Qatar,2022-12-03,Round of 16,"Ahmed bin Ali Stadium, Umm al-Afā'ī",45032,Argentina,Australia,2,1,0,0,0,3,home_win,0,
